Lp;DataPoczatku;DataKonca;SumaUbezpieczenia;Odnowienia;Ulica;KodPocztowy;Miasto;Wojewodztwo;Kraj;ReasekuracjaO;ReasekuracjaF;Szerokosc;Dlugosc;Flaga_1;Flaga_2;Nr_Wojewodztwa
36;2015-09-09;2024-01-08;878000,0;NIE;Przy Parku 16;02-384;Warszawa;Mazowieckie;POLSKA;1;;52.20428505;20.954984070708228;1;0;5;
37;2015-06-25;2024-01-24;283000,0;NIE;LASKOWA 134;87-123;BRZOZÓWKA;Kujawsko-Pomorskie;POLSKA;1;;53.0333592;18.8265935;1;0;2;
38;2015-12-01;2024-01-31;340000,0;NIE;Świętej Kingi 12;35-614;Rzeszów;Podkarpackie;POLSKA;1;;50.035132250000004;22.062997921849174;1;0;8;
39;2016-01-12;2024-01-11;479302,85;NIE;Dzieci Warszawy 15c;02-495;Warszawa;Mazowieckie;POLSKA;1;;52.1900125;20.910172846183677;1;0;5;
40;2015-12-11;2024-01-10;624526,95;NIE;Litomska 25;53-641;Wrocław;Dolnośląskie;POLSKA;1;;51.1193684;17.0110902;1;0;1;
41;2016-01-28;2024-01-27;175000,0;NIE;KLONOWA 4;21-040;ŚWIDNIK;Lubelskie;POLSKA;1;;51.21091375;22.707579648273736;1;0;3;
42;2016-02-05;2024-01-04;309133,0;NIE;Kłobucka 8B;02-699;Warszawa;Mazowieckie;POLSKA;1;;52.1632794;20.9939542;1;0;5;
43;2015-09-01;2024-01-31;243000,0;NIE;CHOSZCZEWO 46;11-731;CHOSZCZEWO;Warmińsko-Mazurskie;POLSKA;1;;53.8734939;21.082983914598735;3;0;11;
44;2015-09-17;2024-01-16;384000,0;NIE;Kazimierza Jarząbka 26;05-500;Piaseczno;Mazowieckie;POLSKA;1;;52.0802843;21.010214;1;0;5;
45;2015-09-30;2024-01-29;136400,0;NIE;BĄDECZ 106;89-320;BĄDECZ;Kujawsko-Pomorskie;POLSKA;1;;53.21363;17.07728;3;0;2;
46;2015-08-08;2024-01-07;245000,0;NIE;Szarotki 26;81-198;Dębogórze;Pomorskie;POLSKA;1;;54.5856244;18.4809955;1;0;10;
